month_billed,bill_authority,bill_library,item_type,bill_reason,number_of_bills,total_billed
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Fiction,LOST,22,198
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Non Fiction,LOST,6,54
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Adult Spoken Word,CHARGE,5,10
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Child Fiction,LOST,23,115
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Child Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Large Print - Adult Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,Large Print - Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,U DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,YA / Teen Fiction,LOST,*,*
2019-05,Bath and North East Somerset,B&NES Mobile Libraries,YA / Teen Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,12 DVD Standard,CHARGE,55,128
2019-05,Bath and North East Somerset,Bath Central Library,12 DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,CHARGE,64,145
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,15 DVD Standard,OVERDUE,9,28
2019-05,Bath and North East Somerset,Bath Central Library,18 DVD Standard,CHARGE,6,13
2019-05,Bath and North East Somerset,Bath Central Library,18 DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,LOST,31,279
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,OVERDUE,27,100.55
2019-05,Bath and North East Somerset,Bath Central Library,Adult Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Graphic Novel,LOST,6,42
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,DAMAGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,LOST,74,668.5
2019-05,Bath and North East Somerset,Bath Central Library,Adult Non Fiction,OVERDUE,46,180.85
2019-05,Bath and North East Somerset,Bath Central Library,Adult Spoken Word,CHARGE,97,190.0
2019-05,Bath and North East Somerset,Bath Central Library,Adult Spoken Word,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,B.O.P.,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 12 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 15 DVD,CHARGE,7,32
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 15 DVD,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set 18 DVD,CHARGE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Boxed Set PG DVD,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,LOST,162,810
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,OVERDUE,54,185.95
2019-05,Bath and North East Somerset,Bath Central Library,Child Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,LOST,12,60
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,OVERDUE,6,16.95
2019-05,Bath and North East Somerset,Bath Central Library,Child Non Fiction,PROCESSFEE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Child Spoken Word,LOST,6,48
2019-05,Bath and North East Somerset,Bath Central Library,Child Spoken Word,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Classification Exempt,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Language Course,CHARGE,10,29
2019-05,Bath and North East Somerset,Bath Central Library,Language Course,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Fiction,LOST,7,49
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Fiction,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Adult Non Fiction,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Large Print - Children,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,Music CD,CHARGE,57,57
2019-05,Bath and North East Somerset,Bath Central Library,Music CD,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,CHARGE,28,61
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,PG DVD Standard,OVERDUE,*,*
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,CHARGE,23,50
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,LOST,*,*
2019-05,Bath and North East Somerset,Bath Central Library,U DVD Standard,OVERDUE,*,*
