month_paid,payment_authority,payment_library,bill_reason,payment_type,number_of_payments,system_paid,real_amount_paid
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,CHARGE,CANCEL,60,120,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,CHARGE,CASH,10,10,10
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,CHARGE,FORGIVEN,10,30,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,CHARGEX,CANCEL,0,0,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,LOSTCARD,CANCEL,0,0,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,LOSTCARD,CASH,0,0,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,OVERDUE,CANCEL,20,10,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,OVERDUE,CASH,0,0,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,OVERDUE,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,OVERDUEX,CANCEL,20,20,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,SALENOVAT,CANCEL,10,10,0
2017-03,Bath and North East Somerset,B&NES Mobile Libraries,SALENOVAT,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,BFR,CASH,0,10,10
2017-03,Bath and North East Somerset,Bath Central Library,BFR,CREDITCARD,0,10,10
2017-03,Bath and North East Somerset,Bath Central Library,CHARGE,CANCEL,40,60,0
2017-03,Bath and North East Somerset,Bath Central Library,CHARGE,CASH,460,680,680
2017-03,Bath and North East Somerset,Bath Central Library,CHARGE,CREDITACCT,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,CHARGE,CREDITCARD,260,410,410
2017-03,Bath and North East Somerset,Bath Central Library,CHARGE,FORGIVEN,10,30,0
2017-03,Bath and North East Somerset,Bath Central Library,CHARGEX,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,CHARGEX,CASH,10,10,10
2017-03,Bath and North East Somerset,Bath Central Library,CHARGEX,CREDITCARD,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,CHARGEX,FORGIVEN,10,20,0
2017-03,Bath and North East Somerset,Bath Central Library,CREDIT,CASH,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,CREDIT,CREDITCARD,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,DAMAGE,CASH,0,20,20
2017-03,Bath and North East Somerset,Bath Central Library,DAMAGE,CREDITCARD,0,10,10
2017-03,Bath and North East Somerset,Bath Central Library,GROUP,CREDITCARD,0,90,90
2017-03,Bath and North East Somerset,Bath Central Library,HOLD,CANCEL,20,200,0
2017-03,Bath and North East Somerset,Bath Central Library,HOLD,CASH,0,30,30
2017-03,Bath and North East Somerset,Bath Central Library,HOLD,CREDITCARD,10,10,10
2017-03,Bath and North East Somerset,Bath Central Library,HOLD,FORGIVEN,0,10,0
2017-03,Bath and North East Somerset,Bath Central Library,HOLDX,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,HOLDX,CASH,10,10,10
2017-03,Bath and North East Somerset,Bath Central Library,HOLDX,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,LOST,CANCEL,20,60,0
2017-03,Bath and North East Somerset,Bath Central Library,LOST,CASH,10,30,30
2017-03,Bath and North East Somerset,Bath Central Library,LOST,CREDITCARD,10,70,70
2017-03,Bath and North East Somerset,Bath Central Library,LOSTCARD,CANCEL,0,10,0
2017-03,Bath and North East Somerset,Bath Central Library,LOSTCARD,CASH,10,10,10
2017-03,Bath and North East Somerset,Bath Central Library,LOSTCARD,CREDITACCT,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,LOSTCARD,CREDITCARD,0,10,10
2017-03,Bath and North East Somerset,Bath Central Library,LOSTX,FORGIVEN,0,20,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,CANCEL,120,220,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,CASH,1010,550,550
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,CREDITACCT,10,10,10
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,CREDITCARD,460,690,690
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,DEBITCARD,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUE,FORGIVEN,50,110,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUEX,CANCEL,10,10,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUEX,CASH,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,OVERDUEX,FORGIVEN,0,20,0
2017-03,Bath and North East Somerset,Bath Central Library,PROCESSFEE,CASH,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,PROCESSFEE,CREDITCARD,0,10,10
2017-03,Bath and North East Somerset,Bath Central Library,SALENOVAT,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,SALENOVAT,CASH,10,0,0
2017-03,Bath and North East Somerset,Bath Central Library,SALENOVAT,CREDITCARD,10,70,70
2017-03,Bath and North East Somerset,Bath Central Library,SALENOVAT,FORGIVEN,10,0,0
2017-03,Bath and North East Somerset,Bath Central Library,SALEVAT,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,SALEVAT,CASH,0,0,0
2017-03,Bath and North East Somerset,Bath Central Library,SALEVAT,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,BFR,CASH,10,0,0
2017-03,Bath and North East Somerset,Keynsham Library,CHARGE,CANCEL,0,10,0
2017-03,Bath and North East Somerset,Keynsham Library,CHARGE,CASH,100,130,130
2017-03,Bath and North East Somerset,Keynsham Library,CHARGE,CREDITCARD,50,90,90
2017-03,Bath and North East Somerset,Keynsham Library,CHARGE,FORGIVEN,10,10,0
2017-03,Bath and North East Somerset,Keynsham Library,CHARGEX,CANCEL,0,10,0
2017-03,Bath and North East Somerset,Keynsham Library,CHARGEX,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,CREDIT,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,CREDIT,CASH,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,DAMAGE,FORGIVEN,0,10,0
2017-03,Bath and North East Somerset,Keynsham Library,HOLD,CASH,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,HOLDX,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,HOLDX,CASH,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,HOLDX,CREDITCARD,10,10,10
2017-03,Bath and North East Somerset,Keynsham Library,LOST,CANCEL,0,10,0
2017-03,Bath and North East Somerset,Keynsham Library,LOSTCARD,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,LOSTCARD,CASH,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,LOSTCARD,FORGIVEN,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUE,CANCEL,10,20,0
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUE,CASH,200,80,80
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUE,CREDITACCT,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUE,CREDITCARD,60,120,120
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUE,FORGIVEN,60,60,0
2017-03,Bath and North East Somerset,Keynsham Library,OVERDUEX,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,SALENOVAT,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,SALENOVAT,CASH,30,40,40
2017-03,Bath and North East Somerset,Keynsham Library,SALENOVAT,CREDITCARD,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,SALEVAT,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,SALEVAT,CASH,60,60,60
2017-03,Bath and North East Somerset,Keynsham Library,SALEVAT,CREDITCARD,0,0,0
2017-03,Bath and North East Somerset,Keynsham Library,SALEVAT,FORGIVEN,0,10,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGE,CANCEL,10,10,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGE,CASH,100,170,170
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGE,CREDITCARD,40,70,70
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGE,FORGIVEN,0,10,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGEX,CASH,0,0,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,CHARGEX,CREDITCARD,10,10,10
2017-03,Bath and North East Somerset,Midsomer Norton Library,CREDIT,CASH,0,0,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,HOLD,CANCEL,0,0,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,HOLD,CASH,0,0,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,HOLD,CREDITCARD,0,0,0
2017-03,Bath and North East Somerset,Midsomer Norton Library,HOLD,FORGIVEN,0,0,0
