authority,item_type,items,total_issues,total_renewals
Bath and North East Somerset,12 DVD Premium,19,34,1
Bath and North East Somerset,12 DVD Standard,737,7069,356
Bath and North East Somerset,15 DVD Premium,20,21,0
Bath and North East Somerset,15 DVD Standard,773,7232,329
Bath and North East Somerset,18 DVD Premium,1,1,0
Bath and North East Somerset,18 DVD Standard,88,926,38
Bath and North East Somerset,Adult Fiction,29348,392104,246649
Bath and North East Somerset,Adult Graphic Novel,443,8623,5420
Bath and North East Somerset,Adult Non Fiction,37131,342496,436838
Bath and North East Somerset,Adult Reference,28027,3797,2131
Bath and North East Somerset,Adult Spoken Word,3611,61767,16902
Bath and North East Somerset,B.O.P.,701,3518,5791
Bath and North East Somerset,Boxed Set 12 DVD,16,192,18
Bath and North East Somerset,Boxed Set 15 DVD,43,614,58
Bath and North East Somerset,Boxed Set 18 DVD,14,227,15
Bath and North East Somerset,Boxed Set EX DVD,2,35,1
Bath and North East Somerset,Boxed Set PG DVD,7,138,6
Bath and North East Somerset,Boxed Set U DVD,3,17,3
Bath and North East Somerset,Cash Sales No VAT,2,0,0
Bath and North East Somerset,Cash Sales With Tax,7,0,0
Bath and North East Somerset,Child Fiction,31561,537433,357548
Bath and North East Somerset,Child Non Fiction,6604,77979,65561
Bath and North East Somerset,Child Reference,1368,287,153
Bath and North East Somerset,Child Spoken Word,1618,23811,20069
Bath and North East Somerset,Classification Exempt,62,432,95
Bath and North East Somerset,Drama Set,1,1,5
Bath and North East Somerset,Drama single copy,8,28,25
Bath and North East Somerset,Equipment,12,37,8
Bath and North East Somerset,Fastrack,4,45,14
Bath and North East Somerset,ILL,1,1,1
Bath and North East Somerset,Language Course,111,1652,922
Bath and North East Somerset,Large Print - Adult Fiction,4663,82775,22335
Bath and North East Somerset,Large Print - Adult Non Fiction,748,13016,4465
Bath and North East Somerset,Large Print - Children,25,140,73
Bath and North East Somerset,Music CD,1557,14442,1580
Bath and North East Somerset,Music Score,353,619,793
Bath and North East Somerset,Music Set,23,221,1
Bath and North East Somerset,PG DVD Premium,10,10,0
Bath and North East Somerset,PG DVD Standard,378,5174,432
Bath and North East Somerset,U  DVD Premium,3,9,0
Bath and North East Somerset,U DVD Standard,472,7120,475
Bath and North East Somerset,VIRTUAL,15,0,0
Bath and North East Somerset,Visual Material,5,7,0
Bath and North East Somerset,YA / Teen Fiction,3540,28828,29076
Bath and North East Somerset,YA / Teen Non Fiction,91,351,575
Bristol,Unknown,3,0,0
Bristol,12 DVD Premium,72,106,0
Bristol,12 DVD Standard,3408,42337,1599
Bristol,15 DVD Premium,65,73,1
Bristol,15 DVD Standard,4834,56029,2344
Bristol,18 DVD Premium,3,2,0
Bristol,18 DVD Standard,598,8228,357
Bristol,Adult Fiction,98589,932880,657976
Bristol,Adult Graphic Novel,5610,62482,49384
Bristol,Adult Non Fiction,116259,634286,1131540
Bristol,Adult Reference,104671,1029,1040
Bristol,Adult Spoken Word,13189,114143,38220
Bristol,B.O.P.,1279,3636,6521
Bristol,Boxed Set 12 DVD,91,1289,138
Bristol,Boxed Set 15 DVD,287,4774,570
Bristol,Boxed Set 18 DVD,128,2943,281
Bristol,Boxed Set EX DVD,1,56,8
Bristol,Boxed Set PG DVD,39,439,63
Bristol,Boxed Set U DVD,48,266,27
Bristol,Child Fiction,89769,1284964,728324
Bristol,Child Non Fiction,21881,135217,114101
Bristol,Child Reference,475,416,594
Bristol,Child Spoken Word,2703,24925,18744
Bristol,Classification Exempt,80,556,189
Bristol,Drama Set,1291,894,233
Bristol,Drama single copy,2470,2410,3836
Bristol,Equipment,357,613,461
Bristol,Fastrack,614,2795,111
Bristol,Language Course,354,3919,3233
Bristol,Large Print - Adult Fiction,14436,86668,34074
Bristol,Large Print - Adult Non Fiction,1787,7022,4062
Bristol,Large Print - Children,407,2428,2017
Bristol,Music CD,7768,46235,7211
Bristol,Music Score,10643,8294,20413
Bristol,Music Set,2,0,0
Bristol,PG DVD Premium,37,24,0
Bristol,PG DVD Standard,2538,29475,1591
Bristol,U  DVD Premium,14,22,0
Bristol,U DVD Standard,3390,38834,2058
Bristol,YA / Teen Fiction,8329,42271,40985
Bristol,YA / Teen Non Fiction,1062,2703,4421
Dorset,12 DVD Premium,20,23,0
Dorset,12 DVD Standard,3408,11762,493
Dorset,15 DVD Premium,24,5,0
Dorset,15 DVD Standard,3757,9335,413
Dorset,18 DVD Standard,485,939,57
Dorset,Adult Fiction,117017,1029532,360229
Dorset,Adult Graphic Novel,662,2399,1442
Dorset,Adult Non Fiction,81204,271347,232086
Dorset,Adult Reference,26505,126,38
Dorset,Adult Spoken Word,11123,76328,14115
Dorset,B.O.P.,341,1073,1430
Dorset,Boxed Set 18 DVD,1,18,1
Dorset,Child Fiction,68620,517655,173041
Dorset,Child Non Fiction,20716,64930,33092
Dorset,Child Reference,190,8,4
Dorset,Child Spoken Word,2652,9747,1668
Dorset,Classification Exempt,1086,1583,150
Dorset,Drama Set,953,1239,32
Dorset,Drama single copy,1194,643,590
Dorset,Fastrack,1,2,0
Dorset,Language Course,181,559,171
Dorset,Large Print - Adult Fiction,22730,165905,39877
