registered_authority,registered_library,district_name,district_code,county_name,county_code,ward_name,ward_code,msoa_name,msoa_code,lsoa_name,lsoa_code,users
Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007A,E01014370,*
Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003C,E01014397,*
Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001A,E01014399,*
Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001C,E01014401,*
Bath and North East Somerset,B&NES Local Studies and Archives,Bath and North East Somerset,E06000022,,,Keynsham South Ward,E05001948,Bath and North East Somerset 002,E02002986,Bath and North East Somerset 002C,E01014404,*
Bath and North East Somerset,B&NES Local Studies and Archives,Wiltshire,E06000054,,,,,Wiltshire 011,E02006654,Wiltshire 011E,E01031918,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Abbey Ward,E05001935,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007A,E01014370,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010B,E01014374,7
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010C,E01014375,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010D,E01014376,8
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon North Ward,E05001936,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010E,E01014377,9
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon South Ward,E05001937,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010G,E01033078,11
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon South Ward,E05001937,Bath and North East Somerset 010,E02002994,Bath and North East Somerset 010H,E01033079,11
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathavon West Ward,E05001938,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022A,E01014379,13
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Bathwick Ward,E05001939,Bath and North East Somerset 012,E02002996,Bath and North East Somerset 012A,E01014380,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Chew Valley North Ward,E05001940,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021A,E01014382,56
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Chew Valley South Ward,E05001941,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021B,E01014383,33
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Chew Valley South Ward,E05001941,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021C,E01014384,21
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020A,E01014385,6
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Clutton Ward,E05001942,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020B,E01014386,15
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018A,E01014387,15
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018B,E01014388,17
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018C,E01014389,21
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Combe Down Ward,E05001943,Bath and North East Somerset 018,E02003002,Bath and North East Somerset 018D,E01014390,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Farmborough Ward,E05001944,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016A,E01014391,11
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023A,E01014393,6
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,High Littleton Ward,E05001945,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023B,E01014394,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003B,E01014396,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Keynsham East Ward,E05001946,Bath and North East Somerset 003,E02002987,Bath and North East Somerset 003D,E01014398,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001A,E01014399,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Keynsham North Ward,E05001947,Bath and North East Somerset 001,E02002985,Bath and North East Somerset 001C,E01014401,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Keynsham South Ward,E05001948,Bath and North East Somerset 002,E02002986,Bath and North East Somerset 002C,E01014404,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Lambridge Ward,E05001950,Bath and North East Somerset 004,E02002988,Bath and North East Somerset 004A,E01014409,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007D,E01014412,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Lansdown Ward,E05001951,Bath and North East Somerset 007,E02002991,Bath and North East Somerset 007E,E01014413,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Lyncombe Ward,E05001952,Bath and North East Somerset 017,E02003001,Bath and North East Somerset 017B,E01014416,7
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020C,E01014419,8
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Mendip Ward,E05001953,Bath and North East Somerset 021,E02003005,Bath and North East Somerset 021D,E01014418,15
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Midsomer Norton Redfield Ward,E05001955,Bath and North East Somerset 027,E02003011,Bath and North East Somerset 027B,E01014425,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008A,E01014427,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008B,E01014428,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008C,E01014429,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Newbridge Ward,E05001956,Bath and North East Somerset 008,E02002992,Bath and North East Somerset 008D,E01014430,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Odd Down Ward,E05001957,Bath and North East Somerset 019,E02003003,Bath and North East Somerset 019A,E01014431,9
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Odd Down Ward,E05001957,Bath and North East Somerset 019,E02003003,Bath and North East Somerset 019B,E01014432,8
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Odd Down Ward,E05001957,Bath and North East Somerset 019,E02003003,Bath and North East Somerset 019D,E01014434,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Oldfield Ward,E05001958,Bath and North East Somerset 014,E02002998,Bath and North East Somerset 014B,E01014436,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Paulton Ward,E05001959,Bath and North East Somerset 023,E02003007,Bath and North East Somerset 023C,E01014439,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022B,E01014442,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022C,E01014443,7
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022D,E01014444,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Peasedown Ward,E05001960,Bath and North East Somerset 022,E02003006,Bath and North East Somerset 022E,E01014445,5
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Publow and Whitchurch Ward,E05001961,Bath and North East Somerset 020,E02003004,Bath and North East Somerset 020D,E01014446,8
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Radstock Ward,E05001962,Bath and North East Somerset 024,E02003008,Bath and North East Somerset 024C,E01014450,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Saltford Ward,E05001963,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016D,E01014453,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Southdown Ward,E05001964,Bath and North East Somerset 015,E02002999,Bath and North East Somerset 015B,E01014456,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Southdown Ward,E05001964,Bath and North East Somerset 015,E02002999,Bath and North East Somerset 015D,E01014458,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Timsbury Ward,E05001965,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016F,E01014459,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Timsbury Ward,E05001965,Bath and North East Somerset 016,E02003000,Bath and North East Somerset 016G,E01014460,13
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Twerton Ward,E05001966,Bath and North East Somerset 011,E02002995,Bath and North East Somerset 011B,E01014462,5
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Twerton Ward,E05001966,Bath and North East Somerset 011,E02002995,Bath and North East Somerset 011C,E01014463,14
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Twerton Ward,E05001966,Bath and North East Somerset 011,E02002995,Bath and North East Somerset 011D,E01014464,7
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Walcot Ward,E05001967,Bath and North East Somerset 006,E02002990,Bath and North East Somerset 006A,E01014465,*
Bath and North East Somerset,B&NES Mobile Libraries,Bath and North East Somerset,E06000022,,,Walcot Ward,E05001967,Bath and North East Somerset 006,E02002990,Bath and North East Somerset 006C,E01014467,*
