month_issued,authority,item_type,issues,renewals
2018-10,Bath and North East Somerset,12 DVD Standard,142,9
2018-10,Bath and North East Somerset,15 DVD Standard,146,4
2018-10,Bath and North East Somerset,18 DVD Standard,16,0
2018-10,Bath and North East Somerset,Adult Fiction,8907,6184
2018-10,Bath and North East Somerset,Adult Graphic Novel,70,48
2018-10,Bath and North East Somerset,Adult Non Fiction,3940,6935
2018-10,Bath and North East Somerset,Adult Reference,3,6
2018-10,Bath and North East Somerset,Adult Spoken Word,475,174
2018-10,Bath and North East Somerset,B.O.P.,39,43
2018-10,Bath and North East Somerset,Boxed Set 12 DVD,5,0
2018-10,Bath and North East Somerset,Boxed Set 15 DVD,3,0
2018-10,Bath and North East Somerset,Boxed Set 18 DVD,2,0
2018-10,Bath and North East Somerset,Boxed Set PG DVD,1,0
2018-10,Bath and North East Somerset,Child Fiction,10326,7469
2018-10,Bath and North East Somerset,Child Non Fiction,961,1223
2018-10,Bath and North East Somerset,Child Spoken Word,162,187
2018-10,Bath and North East Somerset,Classification Exempt,3,0
2018-10,Bath and North East Somerset,Drama Set,6,1
2018-10,Bath and North East Somerset,Fastrack,1,0
2018-10,Bath and North East Somerset,Language Course,6,4
2018-10,Bath and North East Somerset,Large Print - Adult Fiction,776,381
2018-10,Bath and North East Somerset,Large Print - Adult Non Fiction,64,59
2018-10,Bath and North East Somerset,Large Print - Children,5,0
2018-10,Bath and North East Somerset,Music CD,59,5
2018-10,Bath and North East Somerset,Music Score,11,50
2018-10,Bath and North East Somerset,PG DVD Standard,79,12
2018-10,Bath and North East Somerset,Reading Group Set,2,4
2018-10,Bath and North East Somerset,U DVD Standard,74,10
2018-10,Bath and North East Somerset,YA / Teen Fiction,591,689
2018-10,Bath and North East Somerset,YA / Teen Non Fiction,15,26
2018-10,Bristol,12 DVD Standard,435,8
2018-10,Bristol,15 DVD Standard,620,6
2018-10,Bristol,18 DVD Standard,50,0
2018-10,Bristol,Adult Fiction,20502,15829
2018-10,Bristol,Adult Graphic Novel,1029,876
2018-10,Bristol,Adult Non Fiction,10905,20011
2018-10,Bristol,Adult Reference,2,2
2018-10,Bristol,Adult Spoken Word,1045,339
2018-10,Bristol,B.O.P.,89,109
2018-10,Bristol,Boxed Set 12 DVD,8,0
2018-10,Bristol,Boxed Set 15 DVD,48,1
2018-10,Bristol,Boxed Set 18 DVD,23,0
2018-10,Bristol,Boxed Set PG DVD,5,0
2018-10,Bristol,Boxed Set U DVD,3,0
2018-10,Bristol,Child Fiction,30152,17846
2018-10,Bristol,Child Non Fiction,2992,2755
2018-10,Bristol,Child Spoken Word,344,222
2018-10,Bristol,Classification Exempt,11,0
2018-10,Bristol,Drama Set,14,4
2018-10,Bristol,Drama single copy,67,167
2018-10,Bristol,Equipment,22,23
2018-10,Bristol,Fastrack,24,3
2018-10,Bristol,Language Course,40,40
2018-10,Bristol,Large Print - Adult Fiction,914,530
2018-10,Bristol,Large Print - Adult Non Fiction,68,60
2018-10,Bristol,Large Print - Children,54,25
2018-10,Bristol,Music CD,500,104
2018-10,Bristol,Music Score,153,357
2018-10,Bristol,PG DVD Standard,373,13
2018-10,Bristol,Reading Group Set,4,7
2018-10,Bristol,U DVD Standard,506,14
2018-10,Bristol,YA / Teen Fiction,1086,992
